Pe,schmidt,asymmetry,decay_street_roof,flux_over_source
18.0,0.72,1.0197701055581068,4.8412275916145315,0.9902677492004814
36.0,1.44,1.088011915831751,5.6201475877166525,0.9346040654128909
72.0,2.88,1.2358918117494262,6.423938847565831,0.7856843576803438
144.0,5.76,1.5142787077521516,7.3203275498262785,0.5871344308287569
