Pe,schmidt,tau_g,pe_cell,retention_eq,ach,asymmetry,flux_over_source,min_C,under_resolved,aspect_ratio,cells_per_H
50.0,2.0,0.644,1.0416666666666667,759.8047180943285,2.7419326094191102e-05,1.7654019323453911,0.7789800253413888,-0.004446701305970524,True,0.5,48
72.0,2.88,0.6,1.5000000000000004,963.8854165801524,2.161391071487482e-05,2.0638843109697076,0.6993321477090761,-0.005643184372189983,True,0.5,48
144.0,5.76,0.55,2.999999999999998,1430.7398164596414,1.4561231255089632e-05,2.588901075262144,0.5570695152088405,-0.0053952713035523205,True,0.5,48
200.0,8.0,0.536,4.166666666666663,1720.5931716757382,1.2108227369659448e-05,2.8011737872864293,0.49130456795942273,-0.004625444235402988,True,0.5,48
50.0,2.0,0.644,1.0416666666666667,755.8948074319263,2.7561154182435e-05,1.1416788162631664,0.7863751651563066,-0.003650528624561932,True,1.0,48
72.0,2.88,0.6,1.5000000000000004,1053.237780568126,1.9780275373425784e-05,1.2307300241884471,0.6737287803019946,-0.004672183708881976,True,1.0,48
144.0,5.76,0.55,2.999999999999998,1926.210681442445,1.0815708548419151e-05,1.4994472848602156,0.4599053437001483,-0.004445130975307896,True,1.0,48
200.0,8.0,0.536,4.166666666666663,2509.8072689131745,8.300770179199784e-06,1.6650373462264392,0.3763552893150979,-0.0036990572298599513,True,1.0,48
50.0,2.0,0.644,1.0416666666666667,725.6189997016819,2.8711118840463634e-05,1.0001033969126574,0.7964385927746664,-0.003333946254743413,True,2.0,48
72.0,2.88,0.6,1.5000000000000004,1053.0460282610609,1.978387722304626e-05,1.0050532448744602,0.6726806622686277,-0.004261647600447618,True,2.0,48
144.0,5.76,0.55,2.999999999999998,2318.2149992550976,8.986799472882203e-06,1.021642669640739,0.3991885277192994,-0.003911482306917286,True,2.0,48
200.0,8.0,0.536,4.166666666666663,3595.6433016424903,5.7940489602560586e-06,1.0323088256710806,0.27834179509016166,-0.0031272701712715964,True,2.0,48
50.0,2.0,0.644,1.0416666666666667,701.9375061938498,2.9679755176923e-05,1.0025858930179106,0.8014456039844309,-0.003236400264465333,True,3.0,48
72.0,2.88,0.6,1.5000000000000004,1024.906177924889,2.0327063864044848e-05,1.001888032936363,0.6791186634175265,-0.00417255820886164,True,3.0,48
144.0,5.76,0.55,2.999999999999998,2282.062240519794,9.129169644640385e-06,1.0009245446969235,0.4032672503028142,-0.0038613916677570533,True,3.0,48
200.0,8.0,0.536,4.166666666666663,3571.449270017037,5.833299525834773e-06,1.0029429533648466,0.2796470102834807,-0.0030881940528219684,True,3.0,48
