Pe,schmidt,tau_g,pe_cell,retention_raw,retention_eq,ach,ach_star,asymmetry,flux_over_source,min_C,min_C_pct,min_at_source_row,min_loc,tau_g_ok,aspect_ratio,cells_per_H,flow_iters
144.0,5.76,0.6,1.5000000000000004,782.6604964798098,1340.8346658186447,7.768792776778922e-06,0.014916082131415532,2.559326248266095,0.5837114123253649,-0.0017941879730323709,-0.00022924217858217343,False,"r=0,c=382;src_row=1",True,0.5,96,700
144.0,5.76,0.6,1.5000000000000004,892.4383517849122,1963.4124190196521,5.305389008320419e-06,0.010186346895975203,1.5021340224161812,0.4545343317276734,-0.0015104056264394817,-0.00016924481376429085,False,"r=0,c=382;src_row=1",True,1.0,96,700
144.0,5.76,0.6,1.5000000000000004,926.5224910495423,2309.053771199554,4.511227411241794e-06,0.008661556629584243,1.0214101097842592,0.4012563512404536,-0.0013129659889710367,-0.00014170902505385928,False,"r=0,c=382;src_row=1",True,2.0,96,700
144.0,5.76,0.6,1.5000000000000004,920.032580485837,2246.42350929518,4.6370003801887375e-06,0.008903040729962376,1.0009914319099575,0.4095543768478897,-0.0012934037060280466,-0.00014058238082667086,False,"r=0,c=382;src_row=1",True,3.0,96,700
144.0,5.76,0.7000000000000001,0.7499999999999999,719.2851208370643,1125.937563659853,4.625774555743286e-06,0.017762974294054216,2.401167891533768,0.6388321555762226,-0.0002647909393849286,-3.681307060498896e-05,False,"r=0,c=766;src_row=1",True,0.5,192,700
144.0,5.76,0.7000000000000001,0.7499999999999999,894.0017919840675,1964.187140426661,2.6516482193249564e-06,0.010182329162207833,1.425396715228681,0.45515102587927153,-0.00022904562600610913,-2.5620264753360926e-05,False,"r=0,c=766;src_row=1",True,1.0,192,700
144.0,5.76,0.7000000000000001,0.7499999999999999,921.2467235936024,2227.0764167696807,2.338641500630631e-06,0.008980383362421622,1.013551106424106,0.41365743746227085,-0.00020053926161308613,-2.176824692855589e-05,False,"r=0,c=766;src_row=1",True,2.0,192,700
144.0,5.76,0.7000000000000001,0.7499999999999999,908.5769312837347,2092.90346457837,2.488568355627711e-06,0.00955610248561041,1.0004966513402356,0.4341227135704388,-0.0001964521693889823,-2.1621963162922667e-05,False,"r=0,c=766;src_row=1",True,3.0,192,700
200.0,8.0,0.5720000000000001,2.0833333333333317,950.6539258576397,2565.226705732267,4.060719718607925e-06,0.007796581859727217,1.6666436949650636,0.3705925576610068,-0.0013821897136529167,-0.00014539357341905086,False,"r=0,c=382;src_row=1",True,1.0,96,700
200.0,8.0,0.5720000000000001,2.0833333333333317,1001.830951086429,3592.3924580546977,2.899646068265981e-06,0.005567320451070683,1.0320488521972455,0.27887569712495347,-0.0011554103561134642,-0.00011532987225644078,False,"r=0,c=382;src_row=1",True,2.0,96,700
200.0,8.0,0.644,1.0416666666666667,953.255671436706,2587.119929759962,2.0131781574643014e-06,0.007730604124662917,1.5603424840460802,0.36846211127334594,-0.00036762176694234486,-3.856486543513358e-05,False,"r=0,c=766;src_row=1",True,1.0,192,700
200.0,8.0,0.644,1.0416666666666667,997.3053815034432,3436.5553935040507,1.5155679850755165e-06,0.005819781062689983,1.022226501880013,0.2902049486496274,-0.00031139702252878986,-3.1223838585865965e-05,False,"r=0,c=766;src_row=1",True,2.0,192,700
