aspect_ratio,cells_per_H,w_cells,retention_eq,retention_raw,ach_exchange_rate,ventilation_index,cavity_circulation,flux_over_source,single_vortex,iters
0.5,48,96,736.4781430169057,674.9577072700584,2.828778223884793e-05,0.029631486216954578,-0.734952964479545,0.916466718896999,True,115200
0.66,48,73,729.7774741361393,675.2808581218957,2.854751492294882e-05,0.029617306279974217,-0.4882070190398129,0.9253243379719921,True,115200
1.0,48,48,744.8035924305668,687.9545489194957,2.797158008508866e-05,0.029071687993650286,-0.24079168078680077,0.9236724364801304,True,115200
1.5,48,32,718.2649327958547,671.7647431802455,2.900508208334679e-05,0.029772327593908375,-0.12193077801073646,0.9352603927987871,True,115200
2.0,48,24,701.4774605685069,654.8003991237607,2.9699219867234392e-05,0.030543658841325618,-0.073334563083974,0.9334589290910115,False,115200
2.5,48,19,689.8463866541128,641.2020832149616,3.0199960072819967e-05,0.031191414568899713,-0.048520772092075753,0.9294853109616397,False,115200
3.0,48,16,681.5353439120161,631.3969042885894,3.056823614421799e-05,0.03167579673602375,-0.03586999649813812,0.9264331042090469,False,115200
